"SampleID","City","Environment","Total_ARG_count","ARG_richness"
"Lisbon_Sewage","Lisbon","Sewage",23692,104
"Barcelona_Sewage","Barcelona","Sewage",8616,54
"Berlin_Sewage","Berlin","Sewage",12124,68
"Hong_Kong_Sewage","Hong_Kong","Sewage",23381,237
"Porto_Sewage","Porto","Sewage",21153,89
"Santiago_Sewage","Santiago","Sewage",19927,77
"Singapore_Sewage","Singapore","Sewage",32266,237
"Sofia_Sewage","Sofia","Sewage",19903,58
"Taipei_Sewage","Taipei","Sewage",23348,203
"Vienna_Sewage","Vienna","Sewage",20745,90
"Bogota_Sewage","Bogota","Sewage",8184,182
"Hanoi_Sewage","Hanoi","Sewage",41732,213
"Ilorin_Sewage","Ilorin","Sewage",4296,65
"Kuala_Lumpur_Sewage","Kuala_Lumpur","Sewage",15470,174
"Oslo_Sewage","Oslo","Sewage",15774,48
"Rio_de_Janeiro_Sewage","Rio_de_Janeiro","Sewage",6342,64
"Barcelona_Transit","Barcelona","Transit",14498,13
"Berlin_Transit","Berlin","Transit",7758,25
"Bogota_Transit","Bogota","Transit",5885,23
"Hanoi_Transit","Hanoi","Transit",10875,66
"Hong_Kong_Transit","Hong_Kong","Transit",9012,33
"Ilorin_Transit","Ilorin","Transit",27929,48
"Kuala_Lumpur_Transit","Kuala_Lumpur","Transit",24455,71
"Lisbon_Transit","Lisbon","Transit",22076,25
"Oslo_Transit","Oslo","Transit",4016,16
"Porto_Transit","Porto","Transit",5094,17
"Rio_de_Janeiro_Transit","Rio_de_Janeiro","Transit",19925,38
"Santiago_Transit","Santiago","Transit",3724,11
"Singapore_Transit","Singapore","Transit",2268,14
"Sofia_Transit","Sofia","Transit",12333,33
"Taipei_Transit","Taipei","Transit",3129,30
"Vienna_Transit","Vienna","Transit",8841,35
