profile_id	city	environment	depth	comparison
Barcelona_Sewage_2M	Barcelona	Sewage	2M	Sewage_2M_vs_Transit_5M
Berlin_Sewage_2M	Berlin	Sewage	2M	Sewage_2M_vs_Transit_5M
Bogota_Sewage_2M	Bogota	Sewage	2M	Sewage_2M_vs_Transit_5M
Hanoi_Sewage_2M	Hanoi	Sewage	2M	Sewage_2M_vs_Transit_5M
Hong_Kong_Sewage_2M	Hong_Kong	Sewage	2M	Sewage_2M_vs_Transit_5M
Ilorin_Sewage_2M	Ilorin	Sewage	2M	Sewage_2M_vs_Transit_5M
Kuala_Lumpur_Sewage_2M	Kuala_Lumpur	Sewage	2M	Sewage_2M_vs_Transit_5M
Lisbon_Sewage_2M	Lisbon	Sewage	2M	Sewage_2M_vs_Transit_5M
Oslo_Sewage_2M	Oslo	Sewage	2M	Sewage_2M_vs_Transit_5M
Porto_Sewage_2M	Porto	Sewage	2M	Sewage_2M_vs_Transit_5M
Rio_de_Janeiro_Sewage_2M	Rio_de_Janeiro	Sewage	2M	Sewage_2M_vs_Transit_5M
Santiago_Sewage_2M	Santiago	Sewage	2M	Sewage_2M_vs_Transit_5M
Singapore_Sewage_2M	Singapore	Sewage	2M	Sewage_2M_vs_Transit_5M
Sofia_Sewage_2M	Sofia	Sewage	2M	Sewage_2M_vs_Transit_5M
Taipei_Sewage_2M	Taipei	Sewage	2M	Sewage_2M_vs_Transit_5M
Vienna_Sewage_2M	Vienna	Sewage	2M	Sewage_2M_vs_Transit_5M
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_2M_vs_Transit_5M
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_2M_vs_Transit_5M
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_2M_vs_Transit_5M
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_2M_vs_Transit_5M
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_2M_vs_Transit_5M
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_2M_vs_Transit_5M
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_2M_vs_Transit_5M
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_2M_vs_Transit_5M
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_2M_vs_Transit_5M
Porto_Transit_5M	Porto	Transit	5M	Sewage_2M_vs_Transit_5M
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_2M_vs_Transit_5M
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_2M_vs_Transit_5M
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_2M_vs_Transit_5M
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_2M_vs_Transit_5M
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_2M_vs_Transit_5M
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_2M_vs_Transit_5M
