city,shared_ARG_group_count_corrected,union_ARG_group_count_corrected,jaccard_similarity_corrected
Barcelona,8,59,0.13559322033898305
Berlin,9,84,0.10714285714285714
Bogota,12,193,0.06217616580310881
Hanoi,52,227,0.2290748898678414
Hong_Kong,16,254,0.06299212598425197
Ilorin,23,90,0.25555555555555554
Kuala_Lumpur,48,197,0.2436548223350254
Lisbon,17,112,0.15178571428571427
Oslo,9,55,0.16363636363636364
Porto,15,91,0.16483516483516483
Rio_de_Janeiro,15,87,0.1724137931034483
Santiago,6,82,0.07317073170731707
Singapore,9,242,0.0371900826446281
Sofia,17,74,0.22972972972972974
Taipei,15,218,0.06880733944954129
Vienna,20,105,0.19047619047619047
