city	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Lisbon	0	0.6017699115044248	0.624	0.6627450980392157	0.5267175572519084	0.6390977443609023	0.6627450980392157	0.603448275862069	0.6415929203539823	0.60431654676259	0.7345132743362832	0.7061224489795919	0.7388059701492536	0.6372549019607843	0.6666666666666666	0.6875000000000001
Barcelona	0.6017699115044248	0	0.6444444444444445	0.8218623481781376	0.5700000000000001	0.7403846153846154	0.8122448979591836	0.4657534246575342	0.8046511627906977	0.6415094339622641	0.8761904761904762	0.8441558441558442	0.7473684210526316	0.8	0.5217391304347826	0.7446808510638298
Berlin	0.624	0.6444444444444445	0	0.7651821862348178	0.6106194690265486	0.6574074074074074	0.7651821862348178	0.6153846153846153	0.7511520737327189	0.6017699115044248	0.798076923076923	0.7782608695652173	0.7333333333333334	0.7395833333333334	0.6966292134831461	0.7058823529411764
Hong_Kong	0.6627450980392157	0.8218623481781376	0.7651821862348178	0	0.7063492063492063	0.728744939271255	0.20454545454545456	0.8008130081300814	0.35205992509363293	0.7176470588235294	0.36964980544747084	0.2625482625482625	0.8063241106719368	0.36254980079681276	0.8367346938775511	0.7613168724279835
Porto	0.5267175572519084	0.5700000000000001	0.6106194690265486	0.7063492063492063	0	0.5811965811965811	0.680161943319838	0.6	0.6905829596412556	0.6124031007751938	0.7395348837209302	0.6926406926406927	0.7874015748031497	0.6512820512820513	0.6568627450980392	0.6923076923076924
Santiago	0.6390977443609023	0.7403846153846154	0.6574074074074074	0.728744939271255	0.5811965811965811	0	0.7183673469387756	0.59375	0.7096774193548387	0.6746031746031746	0.7303921568627451	0.722466960352423	0.7543859649122806	0.7193877551020408	0.6702127659574468	0.7064220183486238
Singapore	0.6627450980392157	0.8122448979591836	0.7651821862348178	0.20454545454545456	0.680161943319838	0.7183673469387756	0	0.7959183673469388	0.33333333333333337	0.7125984251968503	0.39463601532567055	0.3018867924528302	0.8015873015873015	0.34274193548387094	0.8414634146341463	0.7714285714285715
Sofia	0.603448275862069	0.4657534246575342	0.6153846153846153	0.8008130081300814	0.6	0.59375	0.7959183673469388	0	0.786046511627907	0.6296296296296297	0.8571428571428571	0.8217391304347825	0.71875	0.7659574468085107	0.5070422535211268	0.7291666666666666
Taipei	0.6415929203539823	0.8046511627906977	0.7511520737327189	0.35205992509363293	0.6905829596412556	0.7096774193548387	0.33333333333333337	0.786046511627907	0	0.6919642857142857	0.40909090909090906	0.3622047244094488	0.7706422018348624	0.4159663865546218	0.8433179723502304	0.7405660377358491
Vienna	0.60431654676259	0.6415094339622641	0.6017699115044248	0.7176470588235294	0.6124031007751938	0.6746031746031746	0.7125984251968503	0.6296296296296297	0.6919642857142857	0	0.7465437788018433	0.7427385892116184	0.7398373983739838	0.693069306930693	0.62	0.7777777777777778
Bogota	0.7345132743362832	0.8761904761904762	0.798076923076923	0.36964980544747084	0.7395348837209302	0.7303921568627451	0.39463601532567055	0.8571428571428571	0.40909090909090906	0.7465437788018433	0	0.3811475409836066	0.7772277227722773	0.4721030042918455	0.888888888888889	0.7512690355329951
Hanoi	0.7061224489795919	0.8441558441558442	0.7782608695652173	0.2625482625482625	0.6926406926406927	0.722466960352423	0.3018867924528302	0.8217391304347825	0.3622047244094488	0.7427385892116184	0.3811475409836066	0	0.7965367965367965	0.39419087136929465	0.8846153846153846	0.7633928571428572
Ilorin	0.7388059701492536	0.7473684210526316	0.7333333333333334	0.8063241106719368	0.7874015748031497	0.7543859649122806	0.8015873015873015	0.71875	0.7706422018348624	0.7398373983739838	0.7772277227722773	0.7965367965367965	0	0.7743589743589745	0.7582417582417582	0.7352941176470588
Kuala_Lumpur	0.6372549019607843	0.8	0.7395833333333334	0.36254980079681276	0.6512820512820513	0.7193877551020408	0.34274193548387094	0.7659574468085107	0.4159663865546218	0.693069306930693	0.4721030042918455	0.39419087136929465	0.7743589743589745	0	0.8191489361702128	0.7272727272727273
Oslo	0.6666666666666666	0.5217391304347826	0.6966292134831461	0.8367346938775511	0.6568627450980392	0.6702127659574468	0.8414634146341463	0.5070422535211268	0.8433179723502304	0.62	0.888888888888889	0.8846153846153846	0.7582417582417582	0.8191489361702128	0	0.7956989247311829
Rio_de_Janeiro	0.6875000000000001	0.7446808510638298	0.7058823529411764	0.7613168724279835	0.6923076923076924	0.7064220183486238	0.7714285714285715	0.7291666666666666	0.7405660377358491	0.7777777777777778	0.7512690355329951	0.7633928571428572	0.7352941176470588	0.7272727272727273	0.7956989247311829	0
