city,Barcelona,Berlin,Bogota,Hanoi,Hong_Kong,Ilorin,Kuala_Lumpur,Lisbon,Oslo,Porto,Rio_de_Janeiro,Santiago,Singapore,Sofia,Taipei,Vienna
Barcelona,0,0.5833333333333334,0.5714285714285715,0.888888888888889,0.6666666666666666,0.76,0.88,0.6842105263157895,0.6923076923076924,0.6470588235294118,0.4666666666666667,0.6,0.7857142857142858,0.6842105263157895,0.6470588235294118,0.782608695652174
Berlin,0.5833333333333334,0,0.6,0.8909090909090909,0.6842105263157895,0.8148148148148148,0.86,0.631578947368421,0.8,0.5,0.6666666666666666,0.5,0.8,0.7000000000000001,0.7368421052631579,0.6818181818181819
Bogota,0.5714285714285715,0.6,0,0.7924528301886793,0.5263157894736842,0.7499999999999999,0.7755102040816326,0.6818181818181819,0.6875000000000001,0.65,0.65,0.5,0.6875000000000001,0.5499999999999999,0.7142857142857143,0.72
Hanoi,0.888888888888889,0.8909090909090909,0.7924528301886793,0,0.7857142857142858,0.7499999999999999,0.48484848484848486,0.8305084745762712,0.8909090909090909,0.8833333333333333,0.8035714285714287,0.8846153846153846,0.8909090909090909,0.810344827586207,0.8833333333333333,0.819672131147541
Hong_Kong,0.6666666666666666,0.6842105263157895,0.5263157894736842,0.7857142857142858,0,0.5,0.6938775510204082,0.6799999999999999,0.43750000000000006,0.7083333333333333,0.6521739130434783,0.7058823529411764,0.43750000000000006,0.35,0.5238095238095238,0.5
Ilorin,0.76,0.8148148148148148,0.7499999999999999,0.7499999999999999,0.5,0,0.7090909090909091,0.7499999999999999,0.6086956521739131,0.7741935483870968,0.7333333333333334,0.7916666666666666,0.6086956521739131,0.5185185185185185,0.6428571428571429,0.5666666666666667
Kuala_Lumpur,0.88,0.86,0.7755102040816326,0.48484848484848486,0.6938775510204082,0.7090909090909091,0,0.8392857142857142,0.8125000000000001,0.8545454545454546,0.8545454545454546,0.8750000000000001,0.8125000000000001,0.7254901960784313,0.7647058823529412,0.7169811320754718
Lisbon,0.6842105263157895,0.631578947368421,0.6818181818181819,0.8305084745762712,0.6799999999999999,0.7499999999999999,0.8392857142857142,0,0.8695652173913044,0.47619047619047616,0.6086956521739131,0.6470588235294118,0.8695652173913044,0.7407407407407407,0.8148148148148148,0.7666666666666667
Oslo,0.6923076923076924,0.8,0.6875000000000001,0.8909090909090909,0.43750000000000006,0.6086956521739131,0.8125000000000001,0.8695652173913044,0,0.8,0.8,0.7499999999999999,0.19999999999999998,0.47058823529411764,0.5,0.5499999999999999
Porto,0.6470588235294118,0.5,0.65,0.8833333333333333,0.7083333333333333,0.7741935483870968,0.8545454545454546,0.47619047619047616,0.8,0,0.6363636363636364,0.6,0.8,0.72,0.7499999999999999,0.7499999999999999
Rio_de_Janeiro,0.4666666666666667,0.6666666666666666,0.65,0.8035714285714287,0.6521739130434783,0.7333333333333334,0.8545454545454546,0.6086956521739131,0.8,0.6363636363636364,0,0.6875000000000001,0.8,0.6666666666666666,0.6956521739130436,0.7499999999999999
Santiago,0.6,0.5,0.5,0.8846153846153846,0.7058823529411764,0.7916666666666666,0.8750000000000001,0.6470588235294118,0.7499999999999999,0.6,0.6875000000000001,0,0.7499999999999999,0.7222222222222222,0.7647058823529412,0.761904761904762
Singapore,0.7857142857142858,0.8,0.6875000000000001,0.8909090909090909,0.43750000000000006,0.6086956521739131,0.8125000000000001,0.8695652173913044,0.19999999999999998,0.8,0.8,0.7499999999999999,0,0.47058823529411764,0.5882352941176471,0.5499999999999999
Sofia,0.6842105263157895,0.7000000000000001,0.5499999999999999,0.810344827586207,0.35,0.5185185185185185,0.7254901960784313,0.7407407407407407,0.47058823529411764,0.72,0.6666666666666666,0.7222222222222222,0.47058823529411764,0,0.47619047619047616,0.4583333333333333
Taipei,0.6470588235294118,0.7368421052631579,0.7142857142857143,0.8833333333333333,0.5238095238095238,0.6428571428571429,0.7647058823529412,0.8148148148148148,0.5,0.7499999999999999,0.6956521739130436,0.7647058823529412,0.5882352941176471,0.47619047619047616,0,0.5416666666666666
Vienna,0.782608695652174,0.6818181818181819,0.72,0.819672131147541,0.5,0.5666666666666667,0.7169811320754718,0.7666666666666667,0.5499999999999999,0.7499999999999999,0.7499999999999999,0.761904761904762,0.5499999999999999,0.4583333333333333,0.5416666666666666,0
