city	Barcelona	Berlin	Bogota	Hanoi	Hong_Kong	Ilorin	Kuala_Lumpur	Lisbon	Oslo	Porto	Rio_de_Janeiro	Santiago	Singapore	Sofia	Taipei	Vienna
Barcelona	0	0.6428571428571429	0.56	0.8208955223880596	0.6857142857142856	0.78	0.8648648648648648	0.7741935483870968	0.5499999999999999	0.5714285714285715	0.6923076923076924	0.5	0.7142857142857143	0.6470588235294118	0.7352941176470588	0.7368421052631579
Berlin	0.6428571428571429	0	0.5454545454545454	0.8181818181818181	0.7391304347826086	0.7413793103448275	0.8292682926829268	0.6486486486486487	0.7575757575757575	0.6451612903225806	0.5	0.6153846153846153	0.8181818181818181	0.7111111111111111	0.8043478260869564	0.7755102040816326
Bogota	0.56	0.5454545454545454	0	0.7972972972972973	0.6666666666666666	0.7090909090909091	0.825	0.6285714285714286	0.6551724137931034	0.5714285714285715	0.5813953488372093	0.5217391304347826	0.7241379310344828	0.6341463414634146	0.738095238095238	0.7111111111111111
Hanoi	0.8208955223880596	0.8181818181818181	0.7972972972972973	0	0.7625	0.6428571428571429	0.42528735632183906	0.8026315789473685	0.8450704225352113	0.8472222222222222	0.7469879518072289	0.8507462686567165	0.8732394366197184	0.7625	0.8571428571428571	0.7831325301204819
Hong_Kong	0.6857142857142856	0.7391304347826086	0.6666666666666666	0.7625	0	0.6271186440677966	0.761904761904762	0.7916666666666666	0.5588235294117647	0.717948717948718	0.7321428571428571	0.7428571428571429	0.5757575757575757	0.35	0.46341463414634143	0.48888888888888893
Ilorin	0.78	0.7413793103448275	0.7090909090909091	0.6428571428571429	0.6271186440677966	0	0.6	0.7627118644067796	0.72	0.7499999999999999	0.6129032258064516	0.7959183673469388	0.76	0.6271186440677966	0.7213114754098361	0.6612903225806451
Kuala_Lumpur	0.8648648648648648	0.8292682926829268	0.825	0.42528735632183906	0.761904761904762	0.6	0	0.8571428571428571	0.8243243243243243	0.8421052631578948	0.8021978021978022	0.8611111111111112	0.8513513513513514	0.761904761904762	0.7682926829268292	0.7228915662650602
Lisbon	0.7741935483870968	0.6486486486486487	0.6285714285714286	0.8026315789473685	0.7916666666666666	0.7627118644067796	0.8571428571428571	0	0.8611111111111112	0.6451612903225806	0.5681818181818182	0.6666666666666666	0.8529411764705882	0.7916666666666666	0.8541666666666666	0.8235294117647058
Oslo	0.5499999999999999	0.7575757575757575	0.6551724137931034	0.8450704225352113	0.5588235294117647	0.72	0.8243243243243243	0.8611111111111112	0	0.6799999999999999	0.8	0.65	0.4210526315789474	0.5588235294117647	0.5161290322580645	0.5833333333333334
Porto	0.5714285714285715	0.6451612903225806	0.5714285714285715	0.8472222222222222	0.717948717948718	0.7499999999999999	0.8421052631578948	0.6451612903225806	0.6799999999999999	0	0.6904761904761904	0.4444444444444445	0.76	0.717948717948718	0.763157894736842	0.761904761904762
Rio_de_Janeiro	0.6923076923076924	0.5	0.5813953488372093	0.7469879518072289	0.7321428571428571	0.6129032258064516	0.8021978021978022	0.5681818181818182	0.8	0.6904761904761904	0	0.7105263157894737	0.8444444444444443	0.7090909090909091	0.8070175438596492	0.7627118644067796
Santiago	0.5	0.6153846153846153	0.5217391304347826	0.8507462686567165	0.7428571428571429	0.7959183673469388	0.8611111111111112	0.6666666666666666	0.65	0.4444444444444445	0.7105263157894737	0	0.7499999999999999	0.7428571428571429	0.7575757575757575	0.7567567567567568
Singapore	0.7142857142857143	0.8181818181818181	0.7241379310344828	0.8732394366197184	0.5757575757575757	0.76	0.8513513513513514	0.8529411764705882	0.4210526315789474	0.76	0.8444444444444443	0.7499999999999999	0	0.6176470588235294	0.6666666666666666	0.6756756756756758
Sofia	0.6470588235294118	0.7111111111111111	0.6341463414634146	0.7625	0.35	0.6271186440677966	0.761904761904762	0.7916666666666666	0.5588235294117647	0.717948717948718	0.7090909090909091	0.7428571428571429	0.6176470588235294	0	0.425	0.45454545454545453
Taipei	0.7352941176470588	0.8043478260869564	0.738095238095238	0.8571428571428571	0.46341463414634143	0.7213114754098361	0.7682926829268292	0.8541666666666666	0.5161290322580645	0.763157894736842	0.8070175438596492	0.7575757575757575	0.6666666666666666	0.425	0	0.41463414634146345
Vienna	0.7368421052631579	0.7755102040816326	0.7111111111111111	0.7831325301204819	0.48888888888888893	0.6612903225806451	0.7228915662650602	0.8235294117647058	0.5833333333333334	0.761904761904762	0.7627118644067796	0.7567567567567568	0.6756756756756758	0.45454545454545453	0.41463414634146345	0
