profile_id	Aminoglycosides	MLS	Cationic antimicrobial peptides	Mercury resistance	betalactams	Tetracyclines	Copper resistance	Multi-metal resistance	Drug and biocide resistance	Elfamycins	Fluoroquinolones	Oxazolidinone	Lipopeptides	Multi-biocide resistance	Rifampin	Arsenic resistance	Acid resistance	Biocide and metal resistance	Fosfomycin	Peroxide resistance	Zinc resistance	Lead resistance	Nickel resistance	Phenicol	Sulfonamides	Trimethoprim	Multi-drug resistance	Aminocoumarins	Drug and biocide and metal resistance
Barcelona_Sewage_1M	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Sewage_1M	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Bogota_Sewage_1M	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
Hanoi_Sewage_1M	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0
Hong_Kong_Sewage_1M	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1
Ilorin_Sewage_1M	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kuala_Lumpur_Sewage_1M	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lisbon_Sewage_1M	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oslo_Sewage_1M	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porto_Sewage_1M	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio_de_Janeiro_Sewage_1M	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Santiago_Sewage_1M	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Singapore_Sewage_1M	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0
Sofia_Sewage_1M	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Taipei_Sewage_1M	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vienna_Sewage_1M	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barcelona_Transit_5M	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berlin_Transit_5M	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Bogota_Transit_5M	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanoi_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1
Hong_Kong_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0
Ilorin_Transit_5M	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0
Kuala_Lumpur_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1
Lisbon_Transit_5M	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Oslo_Transit_5M	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Porto_Transit_5M	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio_de_Janeiro_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0
Santiago_Transit_5M	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Singapore_Transit_5M	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Sofia_Transit_5M	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
Taipei_Transit_5M	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Vienna_Transit_5M	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0
