"Component","Pair_type","mean_value","median_value","sd_value"
"Nestedness","Sewage-Sewage",0.205908745793973,0.193781240182249,0.143968510549744
"Nestedness","Sewage-Transit",0.254004705477534,0.246918318826564,0.158265956633322
"Nestedness","Transit-Transit",0.221000799859124,0.161155437352246,0.183383075624909
"Total_Jaccard","Sewage-Sewage",0.68411528707625,0.719731427333766,0.13151146638096
"Total_Jaccard","Sewage-Transit",0.861187743524178,0.861943319838057,0.0641177813854805
"Total_Jaccard","Transit-Transit",0.699368876274716,0.725705329153605,0.121063828473457
"Turnover","Sewage-Sewage",0.478206541282277,0.472727272727273,0.139021244941255
"Turnover","Sewage-Transit",0.607183038046644,0.628011204481793,0.136006640077195
"Turnover","Transit-Transit",0.478368076415593,0.516129032258065,0.201545842590502
