profile_id	city	environment	depth	comparison	level	level_label	PCoA1	PCoA2
Barcelona_Sewage_2M	Barcelona	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.04314672169206507	-0.3554944943861578
Berlin_Sewage_2M	Berlin	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.00959770834625501	-0.299083019904629
Bogota_Sewage_2M	Bogota	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.35063756994573636	0.22350921811978042
Hanoi_Sewage_2M	Hanoi	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.40954095262451473	0.18940342614826033
Hong_Kong_Sewage_2M	Hong_Kong	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.5149569777809974	0.2497739114263068
Ilorin_Sewage_2M	Ilorin	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.14751556941073846	-0.19492396052582728
Kuala_Lumpur_Sewage_2M	Kuala_Lumpur	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.23396610771724408	-0.16724304349719504
Lisbon_Sewage_2M	Lisbon	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.08783261485783925	-0.26596547592477726
Oslo_Sewage_2M	Oslo	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.04090754219110606	-0.3329667680720337
Porto_Sewage_2M	Porto	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.10414563343762435	-0.28893120647892545
Rio_de_Janeiro_Sewage_2M	Rio_de_Janeiro	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.007309171729741491	-0.18117673569149553
Santiago_Sewage_2M	Santiago	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.042511571284802145	-0.2541636077209519
Singapore_Sewage_2M	Singapore	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.4580331957656379	0.18060167841441546
Sofia_Sewage_2M	Sofia	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.07123319559276385	-0.3198026021332217
Taipei_Sewage_2M	Taipei	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.38082779425621943	0.032723168570728406
Vienna_Sewage_2M	Vienna	Sewage	2M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.05724169735868259	-0.33243829148730203
Barcelona_Transit_5M	Barcelona	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.33896772886594667	0.24350444631244964
Berlin_Transit_5M	Berlin	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.29553289453895326	0.317210069950585
Bogota_Transit_5M	Bogota	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.2458288257074208	0.19556995800264412
Hanoi_Transit_5M	Hanoi	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.20574224299555213	0.1998565929550838
Hong_Kong_Transit_5M	Hong_Kong	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.28499951194583767	0.03535290545885547
Ilorin_Transit_5M	Ilorin	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.011996931872018468	0.09873175541932186
Kuala_Lumpur_Transit_5M	Kuala_Lumpur	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	-0.3916664649052039	0.3030119575635725
Lisbon_Transit_5M	Lisbon	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.07611511869169983	0.13915677192771544
Oslo_Transit_5M	Oslo	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.35293825791263966	0.052774001934463056
Porto_Transit_5M	Porto	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.21816964993093002	0.2297037295772952
Rio_de_Janeiro_Transit_5M	Rio_de_Janeiro	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.09779744003317802	0.10465997479082693
Santiago_Transit_5M	Santiago	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.32118705290445665	0.2886092292631786
Singapore_Transit_5M	Singapore	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.271972550397537	-0.03780101335467359
Sofia_Transit_5M	Sofia	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.280387961354985	0.03311381800402774
Taipei_Transit_5M	Taipei	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.25263477864085077	-0.08316561658069038
Vienna_Transit_5M	Vienna	Transit	5M	Sewage_2M_vs_Transit_5M	arg_group	ARG Group	0.2226284105593482	-0.004110778081629248
