"City","Environment","Number_of_samples"
"Berlin","Sewage",5
"Barcelona","Sewage",5
"Bogota","Sewage",1
"Rio_de_Janeiro","Sewage",3
"Santiago","Sewage",5
"Ilorin","Sewage",5
"Lisbon","Sewage",4
"Porto","Sewage",4
"Sofia","Sewage",5
"Vienna","Sewage",5
"Oslo","Sewage",4
"Taipei","Sewage",4
"Hong_Kong","Sewage",2
"Hanoi","Sewage",1
"Kuala_Lumpur","Sewage",5
"Singapore","Sewage",5
"Berlin","Transit",5
"Barcelona","Transit",5
"Bogota","Transit",5
"Rio_de_Janeiro","Transit",5
"Santiago","Transit",5
"Ilorin","Transit",5
"Lisbon","Transit",5
"Porto","Transit",5
"Sofia","Transit",5
"Vienna","Transit",5
"Oslo","Transit",5
"Taipei","Transit",5
"Hong_Kong","Transit",5
"Hanoi","Transit",5
"Kuala_Lumpur","Transit",5
"Singapore","Transit",5
