city	sewage_ARG_group_richness	transit_ARG_group_richness	shared_ARG_group_count	ARG_group_union_count	jaccard_similarity_sewage_transit_ARG_group
Barcelona	54	13	8	59	0.13559322033898305
Berlin	68	25	9	84	0.10714285714285714
Bogota	182	23	12	193	0.06217616580310881
Hanoi	213	66	52	227	0.2290748898678414
Hong_Kong	237	33	16	254	0.06299212598425197
Ilorin	65	48	23	90	0.25555555555555554
Kuala_Lumpur	174	71	48	197	0.2436548223350254
Lisbon	104	25	17	112	0.15178571428571427
Oslo	48	16	9	55	0.16363636363636364
Porto	89	17	15	91	0.16483516483516483
Rio_de_Janeiro	64	38	15	87	0.1724137931034483
Santiago	77	11	6	82	0.07317073170731707
Singapore	237	14	9	242	0.0371900826446281
Sofia	58	33	17	74	0.22972972972972974
Taipei	203	30	15	218	0.06880733944954129
Vienna	90	35	20	105	0.19047619047619047
